Account_ID,Account_Name,Account_Manager,Annual_Target_2026,Jan_Target,Feb_Target,Mar_Target,Apr_Target,May_Target,Jun_Target,Jul_Target,Aug_Target,Sep_Target,Oct_Target,Nov_Target,Dec_Target
1,Account A,Manager 1,12000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
2,Account B,Manager 1,15000000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000
3,Account C,Manager 1,10000000,833333,833333,833333,833333,833333,833334,833333,833333,833333,833333,833333,833333
4,Account D,Manager 2,18000000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000
5,Account E,Manager 2,14000000,1166667,1166667,1166667,1166667,1166667,1166665,1166667,1166667,1166667,1166667,1166667,1166667
6,Account F,Manager 2,11000000,916667,916667,916667,916667,916667,916666,916667,916667,916667,916667,916667,916667
7,Account G,Manager 3,13000000,1083333,1083333,1083333,1083333,1083333,1083334,1083333,1083333,1083333,1083333,1083333,1083333
8,Account H,Manager 3,16000000,1333333,1333333,1333333,1333333,1333333,1333335,1333333,1333333,1333333,1333333,1333333,1333333
9,Account I,Manager 3,12000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
10,Account J,Manager 4,19000000,1583333,1583333,1583333,1583333,1583333,1583335,1583333,1583333,1583333,1583333,1583333,1583333
