Account_ID,Account_Name,Account_Manager,Forecast_YearMonth,Month_1_Fcst,Month_2_Fcst,Month_3_Fcst,Month_4_Fcst,Month_5_Fcst,Month_6_Fcst,Input_Date,Input_By
1,Account A,Manager 1,2026-03,1000000,1050000,1100000,1150000,1200000,1250000,2026-03-16,Manager 1
2,Account B,Manager 1,2026-03,1250000,1300000,1350000,1400000,1450000,1500000,2026-03-16,Manager 1
3,Account C,Manager 1,2026-03,833333,866667,900000,933333,966667,1000000,2026-03-16,Manager 1
4,Account D,Manager 2,2026-03,1500000,1550000,1600000,1650000,1700000,1750000,2026-03-16,Manager 2
5,Account E,Manager 2,2026-03,1166667,1216667,1266667,1316667,1366667,1416667,2026-03-16,Manager 2
6,Account F,Manager 2,2026-03,916667,950000,983333,1016667,1050000,1083333,2026-03-16,Manager 2
7,Account G,Manager 3,2026-03,1083333,1133333,1183333,1233333,1283333,1333333,2026-03-16,Manager 3
8,Account H,Manager 3,2026-03,1333333,1383333,1433333,1483333,1533333,1583333,2026-03-16,Manager 3
9,Account I,Manager 3,2026-03,1000000,1050000,1100000,1150000,1200000,1250000,2026-03-16,Manager 3
10,Account J,Manager 4,2026-03,1583333,1633333,1683333,1733333,1783333,1833333,2026-03-16,Manager 4
